,image_url,title,ratings,details,discount_price,original_price,discount_per
0,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/t/f/6/-original-imahyur8gffqcyp9.jpeg?q=70,ASUS Chromebook Plus Intel Core i3 12th Gen 1215U - (8 GB/128 GB/Chrome OS) CX3402CBA-PQ0173 Chromeboo...,4.2,"['Intel Core i3 Processor (12th Gen)', '8 GB LPDDR5 RAM', 'Chrome Operating System', '35.56 cm (14 Inch) Display', '1 Year Onsite Warranty']","₹30,990","₹55,990",44% off
1,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/t/r/u/-original-imah3acvkdhmxkzq.jpeg?q=70,MSI Thin 15 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFo...,4.3,"['Intel Core i5 Processor (12th Gen)', '8 GB DDR4 RAM', 'Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', '2 Year Warranty Term']","₹45,990","₹67,990",32% off
2,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/t/r/k/-original-imah4dcjtavp2z5d.jpeg?q=70,Lenovo IdeaPad Pro 5 2.8K OLED AI PC Intel Core Ultra 9 185H - (32 GB/1 TB SSD/Windows 11 Home) 14IMH9...,4.4,"['Intel Core Ultra 9 Processor', '32 GB LPDDR5X RAM', 'Windows 11 Operating System', '1 TB SSD', '35.56 cm (14 Inch) Display', '1Yr Warranty + 1 Yr Premium Care and 1 Yr Accidental Damage Protection']","₹1,09,990","₹1,46,890",25% off
3,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/d/p/j/-original-imagwkaymfh66hw3.jpeg?q=70,Acer Aspire 3 Spin 14 Intel Core i3 13th Gen N305 - (8 GB/512 GB SSD/Windows 11 Home) A3SP14-31PT-3554...,4.2,"['Intel Core i3 Processor (13th Gen)', '8 GB LPDDR5 RAM', 'Windows 11 Operating System', '512 GB SSD', '35.56 cm (14 inch) Touchscreen Display', '1 Year Onsite Warranty']","₹41,990","₹55,999",25% off
4,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/r/q/h/-original-imah4dcjarfk6gs9.jpeg?q=70,Lenovo IdeaPad Flex 5 AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) 14ABR8 2 in 1 L...,4.1,"['AMD Ryzen 5 Hexa Core Processor', '16 GB LPDDR4X RAM', 'Windows 11 Operating System', '512 GB SSD', '35.56 cm (14 Inch) Touchscreen Display', 'Microsoft Office Home & Student 2021', '1Yr Warranty + 1 Yr Premium Care and 1 Yr Accidental Damage Protection']","₹60,490","₹93,190",35% off
5,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/4/3/o/-original-imah27qsamfccyxz.jpeg?q=70,Acer Chromebook Plus Intel Core i3 13th Gen 1315U - (8 GB/256 GB SSD/Chrome OS) CB515-2H-34YL Chromebo...,5,"['Intel Core i3 Processor (13th Gen)', '8 GB LPDDR5X RAM', 'Chrome Operating System', '256 GB SSD', '39.62 cm (15.6 Inch) Display', '1 Year Carry-in Warranty']","₹32,990","₹52,999",37% off
6,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/k/i/f/-original-imah4qscfq3ddvc7.jpeg?q=70,HP Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 15s-fq5330TU|15-fd0111TU Thin and...,4.2,"['Intel Core i5 Processor (12th Gen)', '16 GB DDR4 RAM', 'Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 inch) Display', '1 Year Onsite warranty']","₹50,980","₹62,526",18% off
7,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/v/r/o/xl422-thin-and-light-laptop-infinix-original-imagts6qjgfyjdx5.jpeg?q=70,Infinix Intel Core i7 1255U - (32 GB/512 GB SSD/Windows 11 Home) XL422 Thin and Light Laptop,0,"['Intel Core i7 Processor', '32 GB LPDDR4X RAM', 'Windows 11 Operating System', '512 GB SSD', '35.56 cm (14 inch) Display', '1 Year Onsite Warranty']","₹44,990","₹79,990",43% off
8,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/h/a/j/-original-imah4dcjqzqhszug.jpeg?q=70,Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 14IAH8 Thin a...,4,"['Intel Core i5 Processor (12th Gen)', '16 GB LPDDR5 RAM', 'Windows 11 Operating System', '512 GB SSD', '35.56 cm (14 Inch) Display', '1Yr Warranty and 1 Yr Accidental Damage Protection']","₹52,490","₹69,890",24% off
9,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/r/a/h/um3402ya-km541ws-thin-and-light-laptop-asus-original-imahf7yvdbtfzcut.jpeg?q=70,ASUS Zenbook 14 OLED AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) UM3402YA-KM541WS...,4.6,"['AMD Ryzen 5 Hexa Core Processor', '16 GB LPDDR4X RAM', 'Windows 11 Operating System', '512 GB SSD', '35.56 cm (14 inch) Display', '1 Year Onsite Warranty']","₹69,990","₹1,10,990",36% off
